,is_retweet,text
0,False,"['president', 'mrs', 'obama', 'built', 'ten', 'foot', 'wall', 'around', 'c', 'mansion', 'compound', 'agree', 'totally', 'necessary', 'safety', 'security', 'u', 'needs', 'thing', 'slightly', 'larger', 'version']"
1,False,"['great', 'work', 'administration', 'holidays', 'save', 'coast', 'guard', 'pay', 'schumershutdown', 'thanks', 'democrats', 'left', 'town', 'concerned', 'safety', 'security', 'americans']"
2,False,"['veterans', 'president', 'trump', 'handling', 'border', 'security', '62', 'approval', 'rating', 'strong', 'leader', '59', 'ap', 'poll', 'thank']"
3,False,"['turns', 'true', 'department', 'justice', 'fbi', 'president', 'obama', 'rigged', 'investigation', 'hillary', 'really', 'turned', 'screws', 'trump', 'looks', 'like', 'corrupt', 'amp', 'illegal', 'way', 'facts', 'whole', 'hoax', 'exposed']"
4,False,"['absolutely', 'nothing', 'russian', 'collusion', 'kimberley', 'strassel', 'wall', 'street', 'journal', 'russian', 'collusion', 'fabrication', 'greatest', 'hoax', 'history', 'american', 'politics', 'russian', 'collusion', 'hillary', 'democrats']"
5,False,"['2018', 'called', 'year', 'worker', 'steve', 'moore', 'co', 'author', 'trumponomics', 'indeed', 'great', 'year', 'american', 'worker', 'best', 'job', 'market', '50', 'years', 'lowest', 'unemployment', 'rate', 'ever', 'blacks', 'hispanics', 'workers', 'big', 'wage', 'gains']"
6,False,"['naively', 'ask', 'republicans', 'get', 'approval', 'build', 'wall', 'last', 'year', 'senate', 'need', '10', 'democrat', 'votes', 'gives', 'us', 'none', 'border', 'security', 'hard', 'way', 'shutdown', 'bad']"
7,False,"['children', 'question', 'sick', 'given', 'border', 'patrol', 'father', 'young', 'girl', 'said', 'fault', 'given', 'water', 'days', 'border', 'patrol', 'needs', 'wall', 'end', 'working', 'hard', 'amp', 'getting', 'little', 'credit']"
8,False,"['deaths', 'children', 'others', 'border', 'strictly', 'fault', 'democrats', 'pathetic', 'immigration', 'policies', 'allow', 'people', 'make', 'long', 'trek', 'thinking', 'enter', 'country', 'illegally', 'wall', 'even', 'try', 'two']"
9,False,"['long', 'good', 'call', 'president', 'xi', 'china', 'deal', 'moving', 'along', 'well', 'made', 'comprehensive', 'covering', 'subjects', 'areas', 'points', 'dispute', 'big', 'progress', 'made']"
10,False,"['white', 'house', 'waiting', 'democrats', 'come', 'make', 'deal', 'border', 'security', 'hear', 'spending', 'much', 'time', 'presidential', 'harassment', 'little', 'time', 'left', 'things', 'like', 'stopping', 'crime', 'military']"
11,False,"['mueller', 'angry', 'democrats', 'recently', 'deleted', 'approximately', '19', '000', 'text', 'messages', 'fbi', 'agent', 'lisa', 'page', 'lover', 'agent', 'peter', 'texts', 'asked', 'invaluable', 'truth', 'witch', 'hunt', 'hoax', 'total', 'obstruction', 'justice', 'texts', 'demanded']"
12,False,"['thank', 'sean', 'parnell', 'nice', 'comments', 'troops', 'wonderful', 'reaction', 'melania', 'iraq', 'germany', 'great', 'things', 'happening']"
13,False,"['honduras', 'guatemala', 'el', 'salvador', 'nothing', 'united', 'states', 'taking', 'money', 'word', 'new', 'caravan', 'forming', 'honduras', 'nothing', 'cutting', 'aid', '3', 'countries', 'taking', 'advantage', 'u', 'years']"
14,False,"['close', 'southern', 'border', 'bring', 'car', 'industry', 'back', 'united', 'states', 'belongs', 'go', 'back', 'pre', 'nafta', 'many', 'companies', 'jobs', 'foolishly', 'sent', 'mexico', 'either', 'build', 'finish', 'wall', 'close', 'border']"
